player,field,from,to,source
Kayvon Thibodeaux,position,DE,MLB,
Kingsley Suamataia,position,OG,OT,
Tavius Robinson,position,DE,MLB,
Tyler Lacy,position,DE,DT,
Jaxon Smith-Njigba,rating,98,99,
Maxx Crosby,rating,98,97,
Jonathan Taylor,rating,95,96,
Trent Williams,rating,95,96,
Quinn Meinerz,rating,94,95,
Cameron Heyward,rating,94,95,
Tristan Wirfs,rating,94,95,
Kyle Hamilton,rating,95,94,
Chris Lindstrom,rating,92,93,
Nico Collins,rating,89,90,
Christian Darrisaw,rating,91,90,
Josh Hines-Allen,rating,90,89,
Darnell Wright,rating,89,88,
Talanoa Hufanga,rating,89,88,
Chris Olave,rating,89,88,
Breece Hall,rating,86,87,
Sam Darnold,rating,86,87,
Brock Purdy,rating,86,87,
Devin Bush,rating,87,86,
Garrett Wilson,rating,87,86,
Jaylen Waddle,rating,84,85,
Jordan Addison,rating,85,84,
Ernest Jones,rating,85,84,
Luke Goedeke,rating,83,84,
Khalil Shakir,rating,84,83,
Colston Loveland,rating,84,83,
David Montgomery,rating,84,83,
Rome Odunze,rating,81,82,
Rico Dowdle,rating,81,82,
Chris Godwin Jr.,rating,83,82,
Robert Hunt,rating,80,81,
Cobie Durant,rating,80,81,
Ka'imi Fairbairn,rating,80,81,
Sheldon Rankins,rating,80,81,
Laiatu Latu,rating,82,81,
George Karlaftis,rating,80,81,
Blake Cashman,rating,80,81,
Will Campbell,rating,82,81,
John Simpson,rating,79,80,
Harold Fannin Jr.,rating,79,80,
Josh Downs,rating,79,80,
Jordan Mason,rating,79,80,
Jalon Walker,rating,80,79,
Jalon Walker,teamID,ATL,Free Agent,espn-demote
Kyle Monangai,rating,80,79,
Alvin Kamara,rating,80,79,
Braden Mann,rating,78,79,
Tyler Loop,rating,79,78,
Roger Rosengarten,rating,77,78,
Malik Hooker,rating,79,78,
Tre Tucker,rating,79,78,
Dontayvion Wicks,rating,79,78,
Marvin Harrison Jr.,rating,76,77,
Keisean Nixon,rating,76,77,
Brenton Strange,rating,76,77,
Walker Little,rating,78,77,
Mykel Williams,rating,76,77,
Ryan Fitzgerald,rating,77,76,
Tyleik Williams,rating,75,76,
Isiah Pacheco,rating,77,76,
Chamarri Conner,rating,75,76,
Chamarri Conner,teamID,KC,Free Agent,espn-demote
Kendre Miller,rating,77,76,
Taliese Fuaga,rating,75,76,
Dane Belton,rating,75,76,
Riley Dixon,rating,75,76,
Keon Coleman,rating,74,75,
Jahdae Barron,rating,74,75,
Matt Araiza,rating,76,75,
Tory Horton,rating,74,75,
Tershawn Wharton,rating,73,74,
Malcolm Rodriguez,rating,75,74,
Malcolm Rodriguez,position,OLB,MLB,
Dennis Gardeck,rating,73,74,
Dennis Gardeck,position,OLB,MLB,
Mason Taylor,rating,73,74,
Ji'Ayir Brown,rating,73,74,
Chimere Dike,rating,73,74,
Treylon Burks,rating,73,74,
Tua Tagovailoa,rating,74,73,
Warren McClendon Jr.,rating,74,73,
Keion White,rating,74,73,
Jeremy Reaves,rating,74,73,
Jaylon Moore,rating,71,72,
DJ Glaze,rating,71,72,
Ty Robinson,rating,71,72,
Jake Andrews,rating,70,71,
Nehemiah Pritchett,rating,70,71,
Gardner Minshew,rating,69,70,
LaJohntay Wester,rating,71,70,
Danny Stutsman,rating,69,70,
Ben Skowronek,rating,71,70,
DeMarcco Hellams,rating,68,69,
Ja'Tavion Sanders,rating,68,69,
Jahdae Walker,rating,70,69,
Vernon Broughton,rating,70,69,
Rodney Thomas,rating,68,69,
Kylen Granson,rating,70,69,
Ben Sinnott,rating,70,69,
British Brooks,rating,67,68,
David Quessenberry,rating,67,68,
Dont'e Thornton Jr.,rating,67,68,
Korie Black,rating,69,68,
Connor Colby,rating,69,68,
Dan Feeney,rating,67,68,
Dan Feeney,position,C,OG,
Kenny Pickett,rating,68,67,
JJ Pegues,rating,68,67,
Micah Robinson,rating,66,67,
Nick Niemann,rating,65,66,
Rayuan Lane III,rating,67,66,
Keyon Martin,rating,64,65,
Brevyn Spann-Ford,rating,64,65,
Zemaiah Vaughn,rating,66,65,
Stone Forsythe,rating,63,64,
Nate Adkins,rating,63,64,
Storm Norton,rating,62,63,
Jackson Woodard,rating,64,63,
Jordan Clark,rating,64,63,
Brandon Pili,rating,64,63,
